#id redshift distance galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err spitzer.irac.I1 spitzer.irac.I1_err spitzer.irac.I2 spitzer.irac.I2_err spitzer.irac.I3 spitzer.irac.I3_err spitzer.irac.I4 spitzer.irac.I4_err spitzer.mips.24mu spitzer.mips.24mu_err spitzer.mips.70mu spitzer.mips.70mu_err spitzer.mips.160mu spitzer.mips.160mu_err herschel.pacs.blue herschel.pacs.blue_err herschel.pacs.green herschel.pacs.green_err herschel.pacs.red herschel.pacs.red_err herschel.spire.PSW herschel.spire.PSW_err herschel.spire.PMW herschel.spire.PMW_err herschel.spire.PLW herschel.spire.PLW_err
NGC2841 0 16.36815573 12.8137900425 0.738453193328 20.1739576353 0.671526542364 115.926070665 25.5785525002 527.2392278240001 29.27256118 1036.69855578 44.7369348395 1527.0478981 88.8048049567 1957.3095048 321.474976275 2547.07142612 56.9172676748 4057.08982578 551.340104248 2769.8962387 347.503429233 1377.55738786 44.5497912445 751.78119691 28.8352089292 1015.48631849 227.874325131 1278.3006994999998 389.962407586 NaN NaN NaN NaN NaN NaN NaN NaN 939.692421345 52.0108422618 NaN NaN NaN NaN 9601.889226480002 2844.4120193 30309.3724802 4126.9427030100005 46134.2844019 4144.83941499 33269.1398969 1930.33272199 16156.7968399 941.964111951 6378.72240914 438.755367862
NGC2976 0 3.580963553 21.5614138452 0.97249369243 31.140002908000003 0.84805400126 104.906093609 2.19187403859 283.676897185 3.29548525351 468.938792093 5.93912472772 596.945011755 7.23157600059 697.5604854960001 10.3846872782 778.6681994759999 20.2203760499 758.807481324 55.2066442057 711.7939862879999 23.9724546648 364.852960733 11.213207129 225.742651853 9.69357988394 916.701802009 47.1772533774 1455.34125354 88.7182032378 NaN NaN NaN NaN NaN NaN NaN NaN 1384.1703722900002 72.8406702446 NaN NaN NaN NaN 20773.7820899 2665.14701662 38291.8797456 3703.81534581 48642.1041323 4314.09552762 23085.2046252 1764.29470956 11122.0538636 1013.99467895 4634.04743099 538.4474371020001
NGC3049 0 17.86486979 3.1235372319200003 0.142786363646 4.775092655320001 0.139695712205 10.9705410353 0.810031892796 26.8500874918 0.607303285305 43.4542381819 0.812826729752 56.1693777835 1.09014344327 62.6600974452 2.90492823087 81.7494460867 12.727444513 53.4916758073 44.0025504025 75.8814238944 18.9948569118 42.0488367805 2.12843099704 25.9243467977 2.28912709705 128.48039987 8.01344209354 465.945550471 28.9712516563 44.6317642684 3.09272012162 30.4028239118 1.38497455464 66.9942139525 31.3690917778 132.650212968 4.15622824552 434.338756191 22.2147936313 NaN NaN NaN NaN 3642.4001936 612.541718727 6162.8183012 817.645525622 5095.24823715 516.222636455 3014.22804573 254.63330686000003 1603.38804175 153.95124495500002 800.6869545110001 106.444218373
NGC3031 0 3.597495279 170.543751139 7.70109356422 237.78787585 6.58855762998 1986.01189613 66.627290977 4781.29942922 47.0735647632 9385.90131804 83.34119872740001 13594.9540746 116.763258021 18342.5842754 183.19639582 15599.437029 343.085082875 20718.0916156 704.636476399 16022.6581304 450.601590144 11070.6361979 321.984018541 6056.52950649 208.071467032 6728.19779244 500.901265009 5835.28360792 587.81343586 NaN NaN NaN NaN NaN NaN 6494.79302698 547.691512934 NaN NaN NaN NaN 356355.216664 47896.4008121 86625.5988604 10495.260664 NaN NaN 267536.9303 24207.8558754 178803.67703 18743.114084 91413.1063261 8622.118395239999 37940.2807599 4391.91546274
NGC3034 0 3.614099357 35.4287382634 1.8990485532 83.3297701758 2.38896159368 894.157266986 115.346359744 2006.01015693 226.191210054 3645.85406268 202.369005153 4869.30273443 249.871382702 6039.18665503 476.302961469 7619.05058376 159.652924942 9389.89552056 312.079637632 8912.92444358 199.467496602 6277.39805543 183.146659427 5232.7141443 179.073888681 43355.9701888 2000.5419363 162976.284577 9130.713000049998 NaN NaN NaN NaN 19535.4167563 767.2344466410001 33115.939731 1007.48732407 NaN NaN 824821.818464 82590.5662318 NaN NaN 2105603.78444 147567.972607 NaN NaN 1455408.3900799998 102220.047507 451464.19027 25302.1862681 158710.54528700002 9551.22488281 47014.294431400005 2777.5714625
UGC05340 0 12.76438652 3.10264596406 0.140161548687 3.2150632135 0.0910054076512 3.976588634430001 0.364172675731 6.8915958474000005 0.627022396003 7.195936973899999 0.652775418538 7.3770572518 1.3385151186 9.75284829068 2.88216393574 9.98317968394 6.71556939074 30.3789569347 18.5753778677 17.3477105302 12.4645251789 3.71842547901 1.10644100231 1.7881455555 1.1092888948700002 1.07178600917 2.71452891956 -5.50018936295 6.3309097789 4.42862642848 1.1809611987400002 3.15509443844 0.4810340689649999 -0.310273737513 1.0536599462 NaN NaN 12.6378033992 11.5419604073 NaN NaN NaN NaN 118.440241829 72.90412723460001 NaN NaN 147.34600584999998 179.543271897 91.0106290732 76.0587513783 26.0185377614 67.6707044552 6.53423755996 38.4733761677
PGC028759 0 3.837073432 0.244143409018 0.0335735279942 0.285376764247 0.0337502394863 -0.492597278163 0.6541169004090001 -0.414269721036 0.502489685507 -0.0259146772840999 0.929073860654 -0.33811267643 1.98019298956 -2.15911694424 1.7063870595 -5.21259229292 5.43768975304 -5.56786765214 6.01986694705 -5.46456043937 5.0331543747400005 0.0203847258022 0.592542883398 -0.578690414905 0.935445359845 -4.17111939904 4.10080085159 -7.799261235 11.4047376734 0.119618026434 2.34299882148 0.80561220148 1.17577733355 -1.20367237848 6.03915781725 -5.74455961188 3.66928106695 -5.05785934878 3.82731572624 121.853365818 94.8116656297 -422.28783644 454.955054188 -311.278523847 361.703740245 NaN NaN -487.075334311 430.419626262 -208.549375331 188.448992442 -62.441148983800005 139.10152489499998 -3.70509220221 56.9943637307
UGC05373 0 1.438798553 11.7500651999 0.534611644563 15.6270607183 0.464614797646 25.2988947176 1.64261603608 88.6463666025 2.7182549884 115.974501006 2.59464420653 139.65419440999997 4.21158824858 184.951695791 9.60954277092 95.1532250862 34.7340153209 201.580200192 69.74804348330001 285.710148541 51.54518512520001 61.4587683123 5.05341981509 40.2837027998 7.88939071738 15.8817005728 15.6201555875 17.7733892396 34.9470305714 75.3323080651 7.14424658391 40.4032589651 8.084420591159999 -20.9214896096 29.480583933 15.765790545500002 9.1672470394 64.58372725890001 17.2760765806 NaN NaN NaN NaN NaN NaN 1720.7218974 1997.73081969 44.3583532059 4832.52249506 777.4178869350001 394.953096722 575.537341706 246.163881517 277.376211427 203.270050259
UGC05423 0 8.871559185 0.770205289131 0.0389339457935 1.01847119581 0.0417030258968999 2.56006164053 0.7665787623310001 6.22376202581 2.33760417651 9.34042781181 3.53234627272 11.2033103627 3.9680098466 12.1191745409 4.32930369126 12.0305007289 2.86228568298 11.5622250565 6.81621759295 15.5079868796 6.22891787357 6.27422527878 0.6764688766320001 2.98606698897 0.894748548528 5.02631832837 3.71490763918 18.5052396589 6.42893097497 6.49541587355 0.868559953611 4.08192375285 1.01057533561 NaN NaN 3.27260999363 1.2319005750999998 7.824021535780001 4.21011074134 NaN NaN NaN NaN -103.233141699 412.792379324 516.884510073 387.81858212 194.09560841 413.057466745 268.219128693 134.249069538 160.550311303 105.291268843 61.2957979566 46.1218107885
NGC3187 0 35.17 3.0867524369400003 0.149940037102 4.04408790444 0.128532400362 6.97866448232 1.4801418574 16.614657829600002 1.35808206326 24.6333946493 3.189292584 28.798951446 4.33833357201 31.578675840500004 5.54792317985 41.8802965491 19.0631224065 43.6628691013 64.84152305090001 30.9340193886 37.7773757355 23.6075046707 2.57136104127 13.7759879848 3.0801200407 55.074070836 7.61340974137 92.3088956336 13.106857447 21.4070177448 1.54190479014 16.3083224046 1.4860389425399998 25.1250622399 4.37136375224 67.6673774214 2.87006785109 87.9826297389 22.251584589 NaN NaN NaN NaN 885.869944103 534.304331511 3080.93921551 638.687231108 4117.7371424600005 402.427033354 2549.35773836 194.100389926 1492.83820447 120.874318978 699.057152026 77.969478536
NGC3190 0 24.32204885 0.295660769339 0.106107890958 1.80455439911 0.237658555398 23.0926166361 2.26829118073 110.878424029 3.10236472546 225.293958241 6.28819293902 332.51171871500003 8.78814321876 432.736467527 37.3553617913 712.552414775 61.4215479128 977.938854514 136.641540925 755.7610965529999 127.977430294 360.41447039 11.4343412939 202.863286996 8.36408095055 305.67354527500004 18.0679725452 263.99760661100004 23.6946465539 352.221027214 11.3310013313 224.18262128 7.464929375830001 138.327018395 14.7347701884 297.028453528 9.85775888149 268.082416384 19.4007615387 NaN NaN NaN NaN 4997.33813953 1107.80299328 11720.8375069 1747.36651826 14689.2996017 1360.37567721 8016.898395249999 502.345901176 3355.61323842 499.529221645 1057.03685172 187.933328004
NGC3184 0 11.64125989 38.5389409181 1.78496148022 46.4843737861 1.4200771770399998 114.393829759 10.0312750565 334.490135869 5.97790628654 519.396820941 9.63417564716 680.01031949 18.132842143 661.4579290869999 40.907063411100005 1075.56940679 136.41554412099998 1114.38001369 263.399952973 860.801969344 260.317729374 494.140730446 19.4115678524 301.254553948 15.8821185987 1256.68180645 60.5427992101 1454.80732431 89.85500827589999 509.07842036 17.7556962757 335.668944112 11.297790583 157.305126924 17.1371899035 1284.03903823 39.4051949442 1262.09967005 76.2128575549 NaN NaN NaN NaN 19813.5281331 4403.76463102 36288.6164877 7599.92462506 53537.6641136 5939.577242910001 32505.1441496 1892.23862885 15169.423633699998 910.309112938 5991.13700688 462.464544087
NGC3198 0 13.99587028 22.2830052941 1.0147147507 29.297079261 0.844031865507 61.9974580703 13.4579286399 175.74376598 7.74360391559 275.328822458 9.74633473891 355.335171114 27.497292805 411.176990718 81.9037909837 578.6098357540001 122.208780751 912.696661402 744.8485168770001 737.850815155 263.386326065 278.076940872 12.4705273977 166.789213986 10.3071034447 671.902079291 35.3875289815 1017.03810697 68.9529443707 NaN NaN NaN NaN NaN NaN NaN NaN 1097.2295858900002 59.7817698197 NaN NaN NaN NaN 11626.508369 1981.04168178 25508.651739 2296.6696924000003 30277.922236 2317.71843754 18566.6507965 1062.47644057 9603.65520127 569.288208422 3901.17446534 242.283177333
